timestamp,source,log_message,target_label,complexity,cluster,is_anomaly,regex_label
1/14/2025 23:07,ModernCRM,Email service experiencing issues with sending,Critical Error,bert,1,True,
1/17/2025 1:29,AnalyticsEngine,Unauthorized access to data was attempted,Security Alert,bert,2,True,
3/1/2025 19:14,ModernHR,Shard 6 replication task ended in failure,Error,bert,3,True,
8/9/2025 18:58,ModernCRM,Email server encountered a sending fault,Error,bert,1,True,
6/15/2025 11:44,ModernHR,Critical system unit error: unit ID Component55,Critical Error,bert,6,True,
8/4/2025 19:57,ThirdPartyAPI,Multiple bad login attempts detected on user 8538 account,Security Alert,bert,7,True,
3/10/2025 23:11,AnalyticsEngine,Alert: brute force login attempt from 192.168.80.114 detected,Security Alert,bert,12,True,
5/29/2025 7:36,ModernCRM,Detection of multiple disk faults in RAID setup,Critical Error,bert,14,True,
9/30/2025 8:13,ThirdPartyAPI,Suspicious login activity detected from 192.168.24.250,Security Alert,bert,15,True,
6/22/2025 0:22,ThirdPartyAPI,System component malfunction: component ID Component79,Critical Error,bert,6,True,
8/19/2025 16:43,AnalyticsEngine,Denied access attempt on restricted account Account2682,Security Alert,bert,17,True,
4/1/2025 16:42,ThirdPartyAPI,Boot process terminated unexpectedly due to kernel issue,Critical Error,bert,18,True,
11/22/2025 11:06,BillingSystem,"Abnormal system behavior on server 40, potential security breach",Security Alert,bert,19,True,
5/22/2025 3:17,ThirdPartyAPI,Data replication task for shard 14 did not complete,Error,bert,3,True,
1/14/2025 4:46,ModernHR,User 7662 tried to bypass API security measures,Security Alert,bert,20,True,
8/19/2025 5:58,ThirdPartyAPI,Server 4 restarted without warning during data migration,Error,bert,22,True,
7/29/2025 0:17,ModernHR,Multiple login failures occurred on user 9052 account,Security Alert,bert,7,True,
6/18/2025 11:21,AnalyticsEngine,Server 34 crashed unexpectedly while syncing data,Error,bert,23,True,
2025-10-06 16:55:23,LegacyCRM,Lead conversion failed for prospect ID 7842 due to missing contact information.,Workflow Error,llm,24,True,
1/19/2025 13:55,ModernCRM,System configuration is no longer valid,Critical Error,bert,25,True,
5/12/2025 2:50,ModernHR,Unauthorized login attempt on protected account Account5030,Security Alert,bert,17,True,
3/7/2025 2:30,ThirdPartyAPI,RAID array suffered multiple hard drive failures,Critical Error,bert,14,True,
2/3/2025 5:35,AnalyticsEngine,User 7153 made multiple incorrect login attempts,Security Alert,bert,7,True,
5/9/2025 21:18,BillingSystem,User 8300 made multiple incorrect login attempts,Security Alert,bert,7,True,
1/4/2025 22:41,ModernCRM,Privilege elevation detected for user 5038,Security Alert,bert,26,True,
5/3/2025 13:39,AnalyticsEngine,Key system element crashed: element ID Component32,Critical Error,bert,27,True,
5/11/2025 7:56,AnalyticsEngine,Attempt to access account Account3142 was not authorized,Security Alert,bert,28,True,
8/6/2025 17:41,ModernHR,API intrusion detection system flagged user 6771,Security Alert,bert,29,True,
4/4/2025 0:55,BillingSystem,Critical system crash occurred in core application,Critical Error,bert,30,True,
10/19/2025 17:15,ThirdPartyAPI,Detection of admin privilege misuse by user 1449,Security Alert,bert,31,True,
11/1/2025 12:05,AnalyticsEngine,"Server 40 is under potential security threat, review necessary",Security Alert,bert,33,True,
12/7/2025 8:23,ModernCRM,Data replication task failed for shard 17,Error,bert,3,True,
